,Jan,Feb ,Mar ,Apr ,May ,June ,July ,Aug ,Sep ,Oct ,Nov ,Dec ,Period
Dhaka ,13.1,16.2,20.8,23.8,24.8,26.2,26.3,26.4,25.9,23.9,19.4,14.8,21.8
Tangail ,11.4,14.4,18.9,22.8,24,25.6,26.1,26.3,25.7,23.5,18.5,13.5,20.9
Mymensingh ,11.9,14.9,18.9,22.3,23.7,25.6,26.1,26.3,25.6,23.3,18.2,13.5,20.9
Faridpur ,12.2,15.1,19.7,23.4,24.5,25.8,25.9,26.2,25.9,24,19.3,14.2,21.3
Madaripur ,12.2,15.1,19.7,23.4,24.5,25.8,25.9,26.2,25.9,24,19.3,14.2,21.3
Srimangal ,10,12.5,17.5,21.3,22.9,24.8,25.1,25.3,24.7,22.2,16.7,11.9,19.6
Sylhet ,12.9,14.8,18.7,21.1,22.9,24.8,25.1,25.3,24.7,22.2,16.7,11.9,19.6
Bogura ,11.7,14.4,19,22.6,24.1,25.8,26.2,26.4,25.7,23.3,18.3,13.7,20.9
Dinajpur ,10.4,13,17.3,21.1,23.2,25.1,25.7,26.2,25.3,22.3,16.7,12.2,19.9
Ishurdi ,104,13.3,18.2,23,24.4,25.8,26,26.2,25.6,23,17.5,12.4,20.5
Rajshahi ,10.6,13.2,17.9,22.8,24.3,25.8,26.1,26.2,25.6,22.9,17.5,12.6,20.5
Rangpur ,10.9,13.2,17.3,21.2,23.3,25.3,26,26.3,25.3,22.6,17.4,13,20.1
Sydpur ,10.7,13.5,17.5,21.3,23.4,25.2,26.1,26.3,25.4,22.6,17.4,12.8,20.2
Chuadanga ,10.7,14.3,19,23.7,25.1,26.1,26.2,26.3,25.6,23.4,18,12.6,20.9
Jashore ,11.2,14.7,19.6,23.6,25,26,26,260,25.5,23.1,17.8,12.6,20.9
Khulna ,12.2,15.6,20.5,24.2,25.3,26.2,26.2,26.3,25.9,24.1,19.4,14,21.7
Mongla ,13.9,17.5,22,25,26,26.5,26.3,26.4,26,24.5,20.5,15.7,22.5
Satkhira ,12.1,15.9,20.7,24.4,25.6,26.4,26.2,26.2,25.7,23.5,18.3,13.3,21.5
Barishal ,12,15.4,20.5,23.8,24.9,25.8,25.7,25.8,25.4,23.7,18.9,13.6,21.3
Bhola ,12.6,16,21,24.1,25.2,26.1,25.9,26.1,25.7,24,19.4,14.4,21.7
Khepupara ,13.6,16.9,21.8,24.8,25.8,26.3,25.9,26,25.7,24.3,20.1,15.3,22.1
Patuakhali ,13.6,16.7,21.2,24.2,25.4,26.2,26,26.1,25.8,24.2,20.1,15.2,22.1
Chandpur ,13.5,16.1,20.7,23.7,24.8,25.9,25.9,26.1,25.8,24.2,20,15.3,21.8
Teknaf ,15,17,20.7,24.1,25.4,25.5,25.2,25.2,25.2,24.3,21.1,16.9,22.1
Chattogram ,14.1,16.3,20.6,23.6,24.9,25.4,25.2,25.3,25.2,24.1,20.3,15.8,21.7
Commilla ,12.1,15.5,19.7,22.7,24.1,25.4,25.5,25.6,25.2,23.5,18.5,13.4,20.9
Cox's Bazar ,15.4,17.6,21.2,24.2,25.3,25.4,25.3,25.3,25.1,24.5,21.1,17,22.3
Feni ,12.7,15.8,20.4,23.4,24.5,25.4,25.2,25.3,25.1,23.5,19,14.4,21.2
Hatiya ,14.1,16.8,21.1,24,25.1,25.7,25.5,25.6,25.4,24.4,20.3,15.8,22
Kutubdia ,15,17.4,21.2,24.2,25.4,25.7,25.5,25.6,5.5,24.5,22.8,16.7,22.3
M. Court ,13.7,16.3,20.4,23.6,24.9,25.8,25.7,25.8,25.7,24.5,20.5,15.8,21.9
Rangamati ,13,15.1,19.4,22.7,24,24.9,24.8,24.8,24.6,23.4,19.7,15.3,21
Sandwip ,14.2,16.9,21.5,24.4,25.3,25.7,25.4,25.5,25.4,24.4,20.4,15.9,22.1
Sitakunda ,12,14.9,19.8,23.5,24.7,25.5,25.4,25.4,25.2,23.6,18.8,13.8,21
Ambagan (Ctg) ,14.3,17.2,21.3,24.5,255,25.6,25.5,25.5,25.4,24.3,20.1,16.1,22.1
Dhaka ,25,28.3,32.4,33.8,33.3,32.5,31.7,32,32,31.7,29.7,26.5,30.7
Tangail ,23.8,27.4,31.6,33.8,33.3,32.6,31.9,32.2,32,31.6,29.4,25.9,30.5
Mymensingh ,24.4,27,30.6,31.8,31.7,31.5,31.1,31.6,31.3,31.3,29.4,26.1,29.8
Faridpur ,24.4,27.9,32.5,34.3,33.7,32.5,31.5,31.7,31.8,31.6,29.2,25.9,30.6
Madaripur ,25.2,28.5,32.5,34.1,33.9,32.7,31.8,32.1,32.3,32.1,29.9,26.6,31
Srimangal ,25.1,28,31.6,62.9,32.1,32.1,32.1,32.5,32.1,31.5,29.3,26.6,30.5
Sylhet ,25.5,27.7,30.6,31,31.1,31.3,31.5,32.1,31.6,31.4,29.5,26.6,30
Bogura ,24.5,27.4,31.4,33.5,33.2,32.7,32,32.4,32.1,31.8,30.1,26.5,30.6
Dinajpur ,23,26.5,30.9,32.8,32.6,32.5,31.9,32.3,31.7,31,28.9,25.3,29.9
Ishurdi ,24.1,27.7,32.8,35.4,34.6,33.5,32.3,32.5,32.3,31.7,29.4,25.9,31
Rajshahi ,24,27.9,33.1,36,35,33.8,32.4,32.7,32.5,31.6,29.3,25.7,31.2
Rangpur ,23.1,26.2,30.4,31.6,31.7,31.8,31.7,32.1,31.5,30.7,28.4,25,29.5
Sydpur ,22.8,26.5,30.8,32.2,32.4,32.2,32,32.4,32,31.1,28.8,25.3,29.5
Chuadanga ,24.4,28.4,33.3,36.1,35.7,34.1,32.8,33,32.8,32.2,29.9,26.1,31.6
Jashore ,25.4,28.9,33.3,35.8,35.4,33.7,32.5,32.7,32.8,32.5,30.3,26.8,31.7
Khulna ,25.3,28.7,32.9,34.7,34.6,33.1,32,32.1,32.3,32,29.8,26.5,31.2
Mongla ,25.3,28.8,32.8,34.7,34.5,32.8,31.7,31.8,31.9,31.6,29.5,26.5,31
Satkhira ,25.5,28.8,32.9,35,35.2,33.5,32.2,32.2,32.3,32.2,30.1,26.8,31.4
Barishal ,25.5,28.5,32.3,33.5,33.3,32,31.1,31.4,31.6,31.7,29.7,26.7,30.6
Bhola ,25.8,28.4,31.8,32.9,32.9,31.6,30.8,31.2,31.3,31.6,29.8,26.8,30.4
Khepupara ,25.8,28.6,31.8,32.7,32.8,3.5,30.6,30.8,31.1,31.3,29.5,26.9,30.3
Patuakhali ,25.6,28.6,32.2,33.4,33.3,31.8,30.9,31.2,31.6,31.6,29.5,26.7,30.5
Chandpur ,24.6,27.9,31.7,33,33.1,32.1,31.4,31.7,31.7,31.5,29.4,26.1,30.3
Teknaf ,27.3,29,31,32.1,32.3,30.5,29.9,30.1,30.8,31.5,30.2,28.1,30.2
Chattogram ,26,28.2,30.8,31.9,32.3,31.6,30.9,31.3,31.7,31.7,29.9,27.1,30.3
Commilla ,25.1,277,30.8,32.4,32.6,31.8,31.2,31.8,31.9,31.5,29.6,26.6,30.3
Cox's Bazar ,27,29.1,31.5,32.7,32.8,31.2,30.4,30.8,31.4,31.9,30.5,28.1,30.6
Feni ,25.7,28.3,31.3,32.2,32.3,31.2,30.5,31.1,31.4,31.4,29.8,26.9,30.2
Hatiya ,25.2,27.9,30.9,32.1,32.1,30.8,30,30.5,30.8,31,29.2,26.4,29.7
Kutubdia ,25.5,27.4,30.1,31.7,32.3,31,30.2,30.6,31.1,31.4,29.9,27.2,29.9
M. Court ,25.1,27.9,31.4,32.9,32.8,31.5,30.7,31.1,31.4,31.4,29.4,26.2,30.2
Rangamati ,25.8,28.8,32,33.3,33,31.7,31.1,31.7,31.9,31.6,29.3,26.5,30.6
Sandwip ,25.3,27.5,30.2,31.4,31.7,30.8,30.1,30.5,31,31.3,29.4,26.5,29.6
Sitakunda ,26.6,28.9,31.3,32.2,32.4,31.3,30.6,31.2,31.8,32.1,30.3,27.7,30.5
Ambagan (Ctg) ,27.3,30.2,32.3,32.9,32.7,31.5,31,31.5,32,32.4,31,28.5,31.1
